"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Max","Min","Total","Assert","Score"
".Foreach({})","00:00:00.2180806","10000","7.1.4","Mac","CoreCLR","-5480448","00:00:00.2764454","00:00:00.1997186","00:00:01.5265644","True","2.944496501664781"
"Do{}Until()","00:00:00.2201583","10000","7.1.4","Mac","CoreCLR","569344","00:00:00.3670609","00:00:00.1574511","00:00:01.5411078","True","2.9725493425938176"
".Where({})","00:00:00.2235772","10000","7.1.4","Mac","CoreCLR","-6914048","00:00:00.2368226","00:00:00.2127218","00:00:01.5650404","True","3.0187108952011643"
".Where({})","00:00:00.2340968","10000","7.1.4","Mac","CoreCLR","-4960256","00:00:00.2513662","00:00:00.2154989","00:00:01.6386776","True","3.1607451953585963"
"|AnonymusPipe","00:00:00.6638047","100000","7.1.4","Mac","CoreCLR","60702720","00:00:00.6989690","00:00:00.5901801","00:00:04.6466331","True","1"
"|Foreach-Obj{}","00:00:00.7274623","10000","7.1.4","Mac","CoreCLR","-8736768","00:00:00.7907887","00:00:00.6779794","00:00:05.0922359","True","9.822103375738214"
"|Where-Obj{}","00:00:01.1808025","10000","7.1.4","Mac","CoreCLR","-6791168","00:00:01.2334359","00:00:01.1393091","00:00:08.2656176","True","15.943045050348484"
"Foreach(){}","00:00:01.4265741","100000","7.1.4","Mac","CoreCLR","2834432","00:00:02.3576832","00:00:00.8238865","00:00:09.9860190","True","2.1490870733515446"
"For(){}","00:00:02.1037072","100000","7.1.4","Mac","CoreCLR","9150464","00:00:02.3017487","00:00:01.9265040","00:00:14.7259504","True","3.1691658706242967"
"Do{}While()","00:00:02.1132109","100000","7.1.4","Mac","CoreCLR","-10493952","00:00:02.2347357","00:00:01.9751054","00:00:14.7924763","True","3.183482882841896"
"Do{}Until()","00:00:02.1980327","100000","7.1.4","Mac","CoreCLR","-9670656","00:00:02.9104240","00:00:01.7520644","00:00:15.3862289","True","3.3112641413958053"
".Foreach({})","00:00:02.3083861","100000","7.1.4","Mac","CoreCLR","44662784","00:00:03.8162075","00:00:01.9831460","00:00:16.1587027","True","3.477507917614925"
".Where({})","00:00:02.3332181","100000","7.1.4","Mac","CoreCLR","43347968","00:00:02.8879723","00:00:02.0444965","00:00:16.3325265","True","3.51491651083519"
"While(){}","00:00:02.8771510","100000","7.1.4","Mac","CoreCLR","-20004864","00:00:04.4459388","00:00:02.1253860","00:00:20.1400569","True","4.334333577330803"
".Where({})","00:00:02.9061883","100000","7.1.4","Mac","CoreCLR","-28721152","00:00:04.0487082","00:00:02.1940457","00:00:20.3433179","True","4.378077317018093"
"|Foreach-Obj{}","00:00:07.4796865","100000","7.1.4","Mac","CoreCLR","-75231232","00:00:09.6124221","00:00:06.5951847","00:00:52.3578053","True","11.267902291140752"
"|Where-Obj{}","00:00:13.8648904","100000","7.1.4","Mac","CoreCLR","-35495936","00:00:17.4452446","00:00:11.6233785","00:01:37.0542328","True","20.88700245719863"
